------Generation 0------
Rule 78: 17221, Class:  1, CF:0.00122195, Len:  5, Fitness_tra: 0
Rule 79: e1241, Class:  1, CF:0.912115, Len:  5, Fitness_tra: 0
Rule 80: 18c71, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 81: 1c225, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 82: 17144, Class:  1, CF:0.860292, Len:  5, Fitness_tra: 0
Rule 83: 31212, Class:  0, CF:0.484218, Len:  5, Fitness_tra: 0
Rule 84: 1c7b8, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 85: 51115, Class:  1, CF:  1, Len:  5, Fitness_tra: 21
Rule 86: 31122, Class:  1, CF:0.13403, Len:  5, Fitness_tra: 0
Rule 87: 17421, Class:  1, CF:0.00534358, Len:  5, Fitness_tra: 0
Rule 88: 32787, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: e1222, Class:  1, CF:0.980164, Len:  5, Fitness_tra: 0
Rule 90: 91481, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 91: 18226, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 92: 1811b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 93: 31941, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 94: d1161, Class:  1, CF:0.0287877, Len:  5, Fitness_tra: 0
Rule 95: 12722, Class:  1, CF:0.845726, Len:  0, Fitness_tra: 0
Rule 96: 1c11a, Class:  0, CF:  1, Len:  5, Fitness_tra: 77
Rule 97: a1411, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 98: 12720, Class:  1, CF:0.0101957, Len:  4, Fitness_tra: 0
Rule 99: 5411a, Class:  0, CF:0.621491, Len:  5, Fitness_tra: 20
Rule100: 1dc11, Class:  0, CF:  1, Len:  5, Fitness_tra: 4
------Current------
Miss_rate(tra)	:40.4192
------Result------
Miss_rate(tra)	:40.4192
Miss_rate(tst)	:0
ARL				:4.82796

------Generation 2------
