------Generation 0------
Rule 11: 7474c31224, Class:  2, CF:0.996902, Len: 10, Fitness_tra: 102
Rule 12: 11175118d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 1541c34c21, Class:  2, CF:  1, Len: 10, Fitness_tra: 33
Rule 14: 8117421121, Class:  3, CF:0.0464416, Len: 10, Fitness_tra: 16
Rule 15: 77211f7122, Class:  4, CF:0.999734, Len: 10, Fitness_tra: 13
Rule 16: 2c14597112, Class:  1, CF:0.588633, Len: 10, Fitness_tra: 0
Rule 17: d020d40240, Class:  3, CF:  1, Len:  6, Fitness_tra: 0
Rule 18: 2817131c14, Class:  4, CF:0.279332, Len: 10, Fitness_tra: -3
Rule 19: 72443abbb1, Class:  4, CF:0.99945, Len: 10, Fitness_tra: 0
Rule 20: 2247dd271b, Class:  1, CF:0.393795, Len: 10, Fitness_tra: 0
Rule 21: 722183b22b, Class:  2, CF:0.996793, Len: 10, Fitness_tra: 2
Rule 22: 477b48b742, Class:  2, CF:0.906851, Len: 10, Fitness_tra: 14
Rule 23: 8114627791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 7724531b22, Class:  2, CF:0.999924, Len: 10, Fitness_tra: 0
Rule 25: 27224c2bb7, Class:  2, CF:0.753331, Len: 10, Fitness_tra: 0
Rule 26: 714773247b, Class:  4, CF:0.00785185, Len: 10, Fitness_tra: 0
Rule 27: 2777d14442, Class:  2, CF:0.999424, Len: 10, Fitness_tra: 0
Rule 28: 4147d12227, Class:  2, CF:0.997123, Len: 10, Fitness_tra: 0
Rule 29: 42441a2b2b, Class:  4, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4174531752, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 33: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 224463b14b, Class:  4, CF:0.991193, Len: 10, Fitness_tra: -1
Rule 36: 2148aa1bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: d72b147241, Class:  3, CF:  1, Len: 10, Fitness_tra: 0
Rule 38: 77721e2772, Class:  2, CF:0.992341, Len: 10, Fitness_tra: 0
Rule 39: bab55211b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b4b4217b7b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b97253bb12, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 27925111b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 42772921d1, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 24b25e4471, Class:  2, CF:0.722297, Len: 10, Fitness_tra: 0
Rule 45: 2712214bb4, Class:  2, CF:0.631367, Len: 10, Fitness_tra: -1
Rule 46: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 14b4a62b27, Class:  4, CF:0.998785, Len: 10, Fitness_tra: 0
Rule 49: 22b731b722, Class:  4, CF:0.446214, Len: 10, Fitness_tra: 0
Rule 50: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 7744414147, Class:  2, CF:0.744391, Len: 10, Fitness_tra: -43
Rule 52: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 1c2b53bc12, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 54: 1741862227, Class:  2, CF:0.940988, Len: 10, Fitness_tra: 0
Rule 55: 744b2177b7, Class:  2, CF:0.133871, Len: 10, Fitness_tra: 0
Rule 56: 4174b1b2b7, Class:  2, CF:0.144995, Len: 10, Fitness_tra: 5
Rule 57: 7b2b132b24, Class:  4, CF:0.391345, Len: 10, Fitness_tra: 0
Rule 58: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 7274134251, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 60: b24b254bb4, Class:  1, CF:0.461252, Len: 10, Fitness_tra: 2
